"Certifier Name","Operation Name","Physical Address: Street 1","Physical Address: Street 2","Physical Address: City","Physical Address: State/Province","Physical Address: ZIP/ Postal Code","Broker","Community Supported Agriculture (CSA)","Co-Packer","Dairy","Distributor","Marketer/Trader","Restaurant","Retail Food Establishment","Poultry","Private Labeler","Slaughterhouse","Storage","Grower Group","Data as of Date","Organic Certificate","addresses","lon","lat"
"Pennsylvania Certified Organic","Long Branch Farm","370 Richardson Rd",NA,"Carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"370 Richardson Rd, Carthage, North Carolina, 28327",-79.540896,35.325655
"International Certification Services, Inc","Needham, Billy","1011 J Dowdy Rd",NA,"Carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1011 J Dowdy Rd, Carthage, North Carolina, 28327",-79.490905,35.365697
"International Certification Services, Inc","Needham, Jerry","1240 J Dowdy Rd",NA,"Carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-24,NA,"1240 J Dowdy Rd, Carthage, North Carolina, 28327",-79.501409,35.361344
"Pennsylvania Certified Organic","Ten O'clock Farm","4050 Dowd Rd",NA,"Carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4050 Dowd Rd, Carthage, North Carolina, 28327",NA,NA
"Pennsylvania Certified Organic","Turner Farm","360 Putnam Church Rd",NA,"Carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"360 Putnam Church Rd, Carthage, North Carolina, 28327",-79.477126,35.446686
"International Certification Services, Inc","Turner, Shannon Ray","360 Putnum Church Rd.",NA,"carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"360 Putnum Church Rd., carthage, North Carolina, 28327",-79.477126,35.446686
"International Certification Services, Inc","Bass, Steve","618 Emmitt Jackson Rd",NA,"Faison","North Carolina","28341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-30,NA,"618 Emmitt Jackson Rd, Faison, North Carolina, 28341",-78.1451079,35.160851
"Primus Auditing Operations (formerly Primus Labs)","Nature´S Way Farms, Inc","4590 Giddensville Road",NA,"Faison","North Carolina","28328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-01,NA,"4590 Giddensville Road, Faison, North Carolina, 28328",-78.2161275,35.1725166
"Pennsylvania Certified Organic","W.E. Jackson","700 Pine Ridge Road",NA,"Clinton","North Carolina","28328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"700 Pine Ridge Road, Clinton, North Carolina, 28328",-78.2593169,35.0348029
"Quality Assurance International","Corner Cuke Market Inc.","241 Fayetteville Hwy",NA,"Dunn","North Carolina","28334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-22,NA,"241 Fayetteville Hwy, Dunn, North Carolina, 28334",-78.491692,35.193213
"International Certification Services, Inc","N & L Farming LLC","111 Walnut Green Lane",NA,"Dunn","North Carolina","28334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-29,NA,"111 Walnut Green Lane, Dunn, North Carolina, 28334",-78.4929307,35.1748913
"International Certification Services, Inc","Pope, Charles B.","3275 Spring Branda Rd",NA,"Dunn","North Carolina","28334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-11,NA,"3275 Spring Branda Rd, Dunn, North Carolina, 28334",-78.6089028,35.3062743
"International Certification Services, Inc","New Dawn Organics LLC","3046 Turnpike Rd",NA,"Lumberton","North Carolina","28358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17,NA,"3046 Turnpike Rd, Lumberton, North Carolina, 28358",-78.8538794,34.7137403
"Baystate Organic Certifiers","Burch Equipment LLC","685 Burch Rd",NA,"Faison","North Carolina","28341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-03,NA,"685 Burch Rd, Faison, North Carolina, 28341",-78.210718,35.113738
"Quality Assurance International","Southern Produce Distributors, Inc.","2434 Nc 50 403 Highway",NA,"Faison","North Carolina","28341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-26,NA,"2434 Nc 50 403 Highway, Faison, North Carolina, 28341",NA,NA
"International Certification Services, Inc","Ring, William","937 Airport Rd.",NA,"Carthage","North Carolina","28327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"937 Airport Rd., Carthage, North Carolina, 28327",-79.33834,35.2456249
"Pennsylvania Certified Organic","William Ring","922 Airport Road",NA,"Lakeview","North Carolina","28350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"922 Airport Road, Lakeview, North Carolina, 28350",-79.337708,35.2439139
"International Certification Services, Inc","Barefoot Farm","7380 Laura Ray Road",NA,"Linden","North Carolina","28356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"7380 Laura Ray Road, Linden, North Carolina, 28356",-78.7574889,35.1914995
"Pennsylvania Certified Organic","Barefoot Farm","7614 Colliers Chapel Church Rd",NA,"Linden","North Carolina","28356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"7614 Colliers Chapel Church Rd, Linden, North Carolina, 28356",-78.7598191,35.1938159
"International Certification Services, Inc","Conyers Farm","8492 Colliers Chapel Church Road",NA,"Linden","North Carolina","28356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"8492 Colliers Chapel Church Road, Linden, North Carolina, 28356",-78.7383692,35.2063842
"Pennsylvania Certified Organic","Conyers Farm","8492 Colliers Chapel Church Rd",NA,"Linden","North Carolina","28356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"8492 Colliers Chapel Church Rd, Linden, North Carolina, 28356",-78.7383692,35.2063842
"International Certification Services, Inc","United States Cold Storage - Lumberton","2901 Keeny Biggs Rd",NA,"Lumberton","North Carolina","28358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-06,NA,"2901 Keeny Biggs Rd, Lumberton, North Carolina, 28358",-79.0413743,34.6054723
"International Certification Services, Inc","Butterball LLC","1628 Garner Chapel Road",NA,"Mt. Olive","North Carolina","28365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-20,NA,"1628 Garner Chapel Road, Mt. Olive, North Carolina, 28365",-77.9140996,35.1426447
"Pennsylvania Certified Organic","Double J","3480 Old Mt Olive Hwy",NA,"Mt Olive","North Carolina","28365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"3480 Old Mt Olive Hwy, Mt Olive, North Carolina, 28365",-78.0426443,35.2269252
"International Certification Services, Inc","Grantham Farms, Inc.","2219 O'Berry Rd",NA,"Mt. Olive","North Carolina","28365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-22,NA,"2219 O'Berry Rd, Mt. Olive, North Carolina, 28365",-78.1308093,35.2512142
"Pennsylvania Certified Organic","Mill Branch Turkeys","556 Maysville School Road",NA,"Mt Olive","North Carolina","28365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"556 Maysville School Road, Mt Olive, North Carolina, 28365",-78.0097391,35.1127218
"Baystate Organic Certifiers","Mt. Olive Pickle Company","One Cucumber Blvd.",NA,"Mt. Olive","North Carolina","28365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-04,NA,"One Cucumber Blvd., Mt. Olive, North Carolina, 28365",-78.0593001,35.2044324
"International Certification Services, Inc","Butterball LLC - Raeford Loccation","1000 East Central Avenue",NA,"Raeford","North Carolina","28376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-05,NA,"1000 East Central Avenue, Raeford, North Carolina, 28376",-79.2093079,34.976382
"International Certification Services, Inc","Richardson, Richard Jr dba Long Branch Farm","370 Richardson Road",NA,"Carthage","North Carolina","28377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"370 Richardson Road, Carthage, North Carolina, 28377",-79.540896,35.325655
"International Certification Services, Inc","New Growth Holdings LLC","2000 Vass Road",NA,"Raeford","North Carolina","28378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-19,NA,"2000 Vass Road, Raeford, North Carolina, 28378",-79.2317577,35.0249682
"International Certification Services, Inc","Prestage Foods Inc","4470 Hwy 20 East",NA,"St Pauls","North Carolina","28384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-26,NA,"4470 Hwy 20 East, St Pauls, North Carolina, 28384",NA,NA
"International Certification Services, Inc","Fann Farms Inc","220 Oscar Tate Rd",NA,"Salemburg","North Carolina","28385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-26,NA,"220 Oscar Tate Rd, Salemburg, North Carolina, 28385",-78.4847261,35.074123
"International Certification Services, Inc","Roebrts, Starslie & Dou","Lyons Landing x River Rd  8700 Hwy 87W",NA,"Tar Heel","North Carolina","28392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-17,NA,"Lyons Landing x River Rd  8700 Hwy 87W, Tar Heel, North Carolina, 28392",-84.9096539,33.5731659
"International Certification Services, Inc","Blue, Lewin dba White Rock Farms","1191 White Rock Rd.",NA,"Vass","North Carolina","28394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1191 White Rock Rd., Vass, North Carolina, 28394",-79.255088,35.2393379
"Pennsylvania Certified Organic","White Rock Farms","1191 White Rock Road (houses #1, 2, 3); 820 White Rock Road (houses #4, 5)",NA,"Vass","North Carolina","28394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1191 White Rock Road (houses #1, 2, 3); 820 White Rock Road (houses #4, 5), Vass, North Carolina, 28394",NA,NA
"Quality Assurance International","Bunge Oils","376 West Park Drive",NA,"Warsaw","North Carolina","28398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-07,NA,"376 West Park Drive, Warsaw, North Carolina, 28398",-78.105786,35.0211479
"International Certification Services, Inc","United States Cold Storage, Inc","240 Bruce Costin Road",NA,"Warsaw","North Carolina","28398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-10,NA,"240 Bruce Costin Road, Warsaw, North Carolina, 28398",-78.1108299,35.0158478
"Pro-Cert Organic Systems, Ltd.","Southeast Crescent Shipping Company","113 Arendell Street",NA,"Morehead","North Carolina","28557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-27,NA,"113 Arendell Street, Morehead, North Carolina, 28557",-76.703973,34.720552
"Pro-Cert Organic Systems, Ltd.","SSA Atlantic, LLC","113 Arendell Street",NA,"Morehead City","North Carolina","28557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-12,NA,"113 Arendell Street, Morehead City, North Carolina, 28557",-76.703973,34.720552
"Quality Assurance International","Cardinal Foods LLC","201 Progress Drive",NA,"Burgaw","North Carolina","28425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-28,NA,"201 Progress Drive, Burgaw, North Carolina, 28425",-77.924773,34.5378029
"Baystate Organic Certifiers","Laysan Bay LLC DBA Laysan Bay Farm","65 Carver Dr.",NA,"Rocky Point","North Carolina","28457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-19,NA,"65 Carver Dr., Rocky Point, North Carolina, 28457",-77.9094077,34.3927268
"International Certification Services, Inc","Foley Farms LLC","701 Small Road",NA,"Fair Bluff","North Carolina","28439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-30,NA,"701 Small Road, Fair Bluff, North Carolina, 28439",-79.0018414,34.2915175
"International Certification Services, Inc","WJA Farms, LLC","621 Auty Hwy",NA,"Roseboro","North Carolina","28382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-25,NA,"621 Auty Hwy, Roseboro, North Carolina, 28382",-78.5204281,34.9595492
"CCOF Certification Services, LLC","Java Estate Roastery, Inc.","118 Commercial Lane",NA,"Holly Ridge","North Carolina","28445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"118 Commercial Lane, Holly Ridge, North Carolina, 28445",-77.5631814,34.4838327
"International Certification Services, Inc","Robinson Brothers Farm LLC","1807 Hall Town Road",NA,"Garland","North Carolina","28441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-05,NA,"1807 Hall Town Road, Garland, North Carolina, 28441",-78.3941689,34.7862819
"CCOF Certification Services, LLC","Sykes & Sykes Inc. Dba Altar-Cross Farms","4108 Ivanhoe Road",NA,"Ivanhoe","North Carolina","28447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4108 Ivanhoe Road, Ivanhoe, North Carolina, 28447",-78.2411811,34.6093322
"Quality Assurance International","Ag Mart Produce","4370 Blue Banks Loop Rd",NA,"Leland","North Carolina","28451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-22,NA,"4370 Blue Banks Loop Rd, Leland, North Carolina, 28451",-78.1357321,34.3353389
"International Certification Services, Inc","American Blueberries of North Carolina LLC","3500 Hwy 113",NA,"Rocky Point","North Carolina","28457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-05,NA,"3500 Hwy 113, Rocky Point, North Carolina, 28457",-77.8877304,34.4350957
"Pennsylvania Certified Organic","Bonham Farm (Harvey Sholar)","585 Bonham Rd",NA,"Magnolia","North Carolina","28457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"585 Bonham Rd, Magnolia, North Carolina, 28457",NA,NA
"International Certification Services, Inc","Cottle Organics Inc","190 Cottle Lane",NA,"Rose Hill","North Carolina","28458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-26,NA,"190 Cottle Lane, Rose Hill, North Carolina, 28458",-78.008968,34.8335269
"International Certification Services, Inc","Hannah Forrest & Blueberries LLC","2299 S NC Hwy 11",NA,"Rosehill","North Carolina","28458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-05,NA,"2299 S NC Hwy 11, Rosehill, North Carolina, 28458",-77.9541928,34.8374304
"International Certification Services, Inc","Owen Rouse Farms Inc","2297 S NC 11 Hwy",NA,"Rose Hill","North Carolina","28458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-05,NA,"2297 S NC 11 Hwy, Rose Hill, North Carolina, 28458",-77.9492039,34.8363367
"International Certification Services, Inc","JDT Farming LLC","1860 Harvey Lewis Rd",NA,"Faison","North Carolina","28341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-20,NA,"1860 Harvey Lewis Rd, Faison, North Carolina, 28341",-78.1873399,35.1439484
"A Bee Organic","Brick Rooks","1296 Seven Creek Hwy.",NA,"Whiteville","North Carolina","28472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-14,NA,"1296 Seven Creek Hwy., Whiteville, North Carolina, 28472",-78.676778,34.221316
"CCOF Certification Services, LLC","Southern Belle Organics LLC/Brick Rooks","475 Industrial Drive",NA,"Bladenboro","North Carolina","28320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"475 Industrial Drive, Bladenboro, North Carolina, 28320",-78.7757554,34.5537791
"International Certification Services, Inc","Sunset Ranch Organics","2630 7th St Rd",NA,"Lumberton","North Carolina","28538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-06,NA,"2630 7th St Rd, Lumberton, North Carolina, 28538",NA,NA
"Baystate Organic Certifiers","Odom Farms","4990 Hwy. 111 N.",NA,"Seven Springs","North Carolina","28578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-29,NA,"4990 Hwy. 111 N., Seven Springs, North Carolina, 28578",-77.8759245,35.1541249
"CCOF Certification Services, LLC","Ham Produce Company","963 Hwy 258 South",NA,"Snow Hill","North Carolina","28580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"963 Hwy 258 South, Snow Hill, North Carolina, 28580",-77.6623441,35.4278426
"Quality Assurance International","Star Snax LLC","103 B Somerset Drive North West",NA,"Conover","North Carolina","28613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-20,NA,"103 B Somerset Drive North West, Conover, North Carolina, 28613",-81.2505513,35.7210341
"International Certification Services, Inc","Cave, Preston Adam","9455 US 601",NA,"Dobson","North Carolina","27017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-16,NA,"9455 US 601, Dobson, North Carolina, 27017",-80.7198331,36.2944931
"Pennsylvania Certified Organic","River Sun Farm","130 Catalpa Ridge Lane",NA,"Statesville","North Carolina","28625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-27,NA,"130 Catalpa Ridge Lane, Statesville, North Carolina, 28625",NA,NA
"Pennsylvania Certified Organic","Snow Creek Farms, LLC","964 Snow Creek Road",NA,"Statesville","North Carolina","28625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-01,NA,"964 Snow Creek Road, Statesville, North Carolina, 28625",-80.934787,35.911716
"CCOF Certification Services, LLC","Fishel Organic Farm LLC","1461 John Halsey Rd.",NA,"Grassy Creek","North Carolina","28631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1461 John Halsey Rd., Grassy Creek, North Carolina, 28631",-81.4003252,36.567509
"CCOF Certification Services, LLC","Shiloh's Garden, LLC Dba Tumbling Shoals Farm","841 Sand Ridge Road",NA,"Millers Creek","North Carolina","28651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01,NA,"841 Sand Ridge Road, Millers Creek, North Carolina, 28651",-81.243206,36.2453829
"Transitioning to New Certifier","Berry Patch Farms","240 Mesa Way",NA,"West Jefferson","North Carolina","28694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-09-09,NA,"240 Mesa Way, West Jefferson, North Carolina, 28694",-81.392765,36.296667
"CCOF Certification Services, LLC","Coconut Organics, Inc. Dba Coconut Organics","4 Celtic Drive",NA,"Arden","North Carolina","28704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4 Celtic Drive, Arden, North Carolina, 28704",-82.579855,35.479426
"CCOF Certification Services, LLC","Selina Naturally Celtic Ocean International Dba Selina Naturally","4 Celtic Drive",NA,"Arden","North Carolina","28704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4 Celtic Drive, Arden, North Carolina, 28704",-82.579855,35.479426
"CCOF Certification Services, LLC","Vista Horticultural Group Dba Eden Brothers","2099 Brevard Rd.",NA,"Arden","North Carolina","28704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2099 Brevard Rd., Arden, North Carolina, 28704",-82.5749617,35.4473154
"CCOF Certification Services, LLC","Mandala Naturals, LLC","445 Stoney Fork Rd.",NA,"Barnardsville","North Carolina","28709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"445 Stoney Fork Rd., Barnardsville, North Carolina, 28709",-82.4080565,35.7333473
"CCOF Certification Services, LLC","Smiling Hara, LLC DBA The Hemp Food Company","735 N. Fork Rd. Bldg 1",NA,"Barnardsville","North Carolina","28709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"735 N. Fork Rd. Bldg 1, Barnardsville, North Carolina, 28709",-82.406175,35.789989
"CCOF Certification Services, LLC","Red Scout Enterprises, LLC Dba Red Scout Farm","99 Temple Rd.",NA,"Black Mountain","North Carolina","28711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"99 Temple Rd., Black Mountain, North Carolina, 28711",-82.326989,35.630944
"CCOF Certification Services, LLC","Transylvania Vocational Services Inc. Dba TVS","11 Mountain Industrial Drive",NA,"Brevard","North Carolina","28712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"11 Mountain Industrial Drive, Brevard, North Carolina, 28712",-82.7034865,35.2528039
"International Certification Services, Inc","Balsam Gardens, LLC","Hardesty Ln",NA,"Asheville","North Carolina","28801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-15,NA,"Hardesty Ln, Asheville, North Carolina, 28801",-82.4825351,35.5744428
"CCOF Certification Services, LLC","Asheville Kombucha Mamas Dba Buchi","242 Derringer Drive",NA,"Marshall","North Carolina","28753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"242 Derringer Drive, Marshall, North Carolina, 28753",-82.6763168,35.8110837
"CCOF Certification Services, LLC","Fork Mountain Farm","525 South Fork Rd.",NA,"Marshall","North Carolina","28753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"525 South Fork Rd., Marshall, North Carolina, 28753",NA,NA
"CCOF Certification Services, LLC","Klooster Bros, LLC Dba Banner Greenhouses","2239 South Creek Road",NA,"Nebo","North Carolina","28761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2239 South Creek Road, Nebo, North Carolina, 28761",-81.8877814,35.6835184
"CCOF Certification Services, LLC","Clement Swift Dba Clem's Organic Gardens","Davidson River Road 858",NA,"Pisgah Forest","North Carolina","28768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"Davidson River Road 858, Pisgah Forest, North Carolina, 28768",-82.699219,35.26711
"Quality Assurance International","Sunny Creek Farm","520 Pinefield Drive",NA,"Tryon","North Carolina","28782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-10,NA,"520 Pinefield Drive, Tryon, North Carolina, 28782",-82.047564,35.245814
"International Certification Services, Inc","Alljuice Operating, LLC","352 Jet Street",NA,"Hendersonville","North Carolina","28792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-03,NA,"352 Jet Street, Hendersonville, North Carolina, 28792",-82.404134,35.348246
"Quality Certification Services","Thomas A. Owens","4039 Chimney Rock Hwy",NA,"Hendersonville","North Carolina","28792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-06,NA,"4039 Chimney Rock Hwy, Hendersonville, North Carolina, 28792",-82.3356516,35.3972182
"International Certification Services, Inc","Oakhill Farms LLC","78 School House Road",NA,"Mills River","North Carolina","28759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-10-13,NA,"78 School House Road, Mills River, North Carolina, 28759",-82.5594772,35.3754689
"Baystate Organic Certifiers","Sow True Seeds, Inc.","243 Haywood St",NA,"Asheville","North Carolina","28801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-30,NA,"243 Haywood St, Asheville, North Carolina, 28801",-82.5619913,35.5946606
"Transitioning to New Certifier","Natural Import Company","9 Reed Street, Suite A",NA,"Asheville","North Carolina","28803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-23,NA,"9 Reed Street, Suite A, Asheville, North Carolina, 28803",-82.540143,35.5675106
"CCOF Certification Services, LLC","Raw Shakti Chocolate Dba Santosha Chocolate","335 Cummins Road",NA,"Asheville","North Carolina","28805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"335 Cummins Road, Asheville, North Carolina, 28805",-82.5345745,35.5908731
"CCOF Certification Services, LLC","Thirteen Moons Farm","87 Maple Drive",NA,"Asheville","North Carolina","28805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"87 Maple Drive, Asheville, North Carolina, 28805",-82.496047,35.609843
"Quality Assurance International","Great Eastern Sun Trading Co. Inc. Dba Macro Direct Wholesale","92 McIntosh Road",NA,"Asheville","North Carolina","28806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-04,NA,"92 McIntosh Road, Asheville, North Carolina, 28806",-82.6070182,35.5462527
"International Certification Services, Inc","Milkco, Inc","220 Deaverview Rd",NA,"Asheville","North Carolina","28816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-22,NA,"220 Deaverview Rd, Asheville, North Carolina, 28816",-82.6148261,35.5799689
"Agricultural Services Certified Organic","River's Edge Farms","970 Valley River Ave",NA,"Murphy","North Carolina","28906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-22,NA,"970 Valley River Ave, Murphy, North Carolina, 28906",-84.0257679,35.0961057
"International Certification Services, Inc","North Carolina State Ports Authority","113 Arendel Street",NA,"Morehead City","North Carolina","28557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"113 Arendel Street, Morehead City, North Carolina, 28557",-76.703973,34.720552
"International Certification Services, Inc","Pilgrim's Pride - Feed Mill","2607 Old Highway 421",NA,"Staley","North Carolina","27355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2607 Old Highway 421, Staley, North Carolina, 27355",-79.5547907,35.8148727
"Pennsylvania Certified Organic","Rylanes Farms, LLC","2200 Edwards Hill Road",NA,"Siler City","North Carolina","27344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2200 Edwards Hill Road, Siler City, North Carolina, 27344",-79.4417036,35.6161481
"International Certification Services, Inc","Parrish Enterprises, Inc","5896 Taylors Store Rd",NA,"Nashville","North Carolina","27856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-15,NA,"5896 Taylors Store Rd, Nashville, North Carolina, 27856",-77.9842963,36.0591985
"International Certification Services, Inc","Misty Mountain Spring Water LLC","64841 S Hwy 107",NA,"Cashiers","North Carolina","28717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-14,NA,"64841 S Hwy 107, Cashiers, North Carolina, 28717",-83.0990096,35.1121164
"International Certification Services, Inc","Burgess, Jeff","1887 Mill Creek Road",NA,"Ramseur","North Carolina","27316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1887 Mill Creek Road, Ramseur, North Carolina, 27316",-79.641201,35.692952
